Duty Date,Duty Category,Duty Type
2012-09-25,REST,REST
2012-09-30,OFF,XX
2012-10-01,OFF,XX
2012-10-08,OFF,XX
2012-10-09,OFF,XX
2012-10-10,REST,REST
2012-10-13,OFF,XX
2012-10-14,OFF,XX
2012-10-18,OFF,XX
2012-10-19,OFF,XX
2012-10-20,OFF,XX
2012-10-24,OFF,XX
2012-10-25,OFF,XX
2012-10-26,OFF,XX
2012-10-27,OFF,XX
2012-10-28,OFF,XX
2012-10-29,LVE,LV
2012-10-30,LVE,LV
2012-10-31,LVE,LV
2012-11-01,OFF,XX
2012-11-01,REST,REST
2012-11-04,OFF,XXR
2012-11-05,OFF,XX
2012-11-05,REST,REST
2012-11-06,OFF,XX
2012-11-06,REST,REST
2012-11-07,REST,REST
2012-11-09,OFF,XXR
2012-11-10,REST,REST
2012-11-13,OFF,XX
2012-11-17,OFF,XX
2012-11-17,REST,REST
2012-11-18,OFF,XX
2012-11-18,REST,REST
2012-11-24,OFF,XX
2012-11-24,REST,REST
2012-11-25,ABS,AB
2012-11-25,REST,REST
2012-11-26,REST,REST
2012-11-26,SBY,SQ22
2012-12-03,OFF,XX
2012-12-04,OFF,XXR
2012-12-05,OFF,XXR
2012-12-06,SBY,SQ08
2012-12-09,REST,REST
2012-12-12,OFF,XXR
2012-12-13,OFF,XXR
2012-12-14,REST,REST
2012-12-15,SBY,SQ04
2012-12-18,OFF,XXR
2012-12-19,OFF,XXR
2012-12-20,OFF,XXR
2012-12-21,SBY,SQ08
2012-12-23,REST,REST
2012-12-26,OFF,XXR
2012-12-27,OFF,XXR
2012-12-28,REST,REST
2013-01-01,OFF,XXR
2013-01-02,OFF,XXR
2013-01-09,REST,REST
2013-01-10,OFF,XX
2013-01-11,OFF,XX
2013-01-14,OFF,XX
2013-01-15,OFF,XX
2013-01-16,REST,REST
2013-01-23,OFF,XX
2013-01-24,REST,REST
2013-01-28,OFF,XX
2013-01-29,OFF,XX
2013-01-30,OFF,XX
2013-01-31,OFF,XX
2013-02-07,OFF,XX
2013-02-08,OFF,XX
2013-02-09,REST,REST
2013-02-13,REST,REST
2013-02-16,OFF,XX
2013-02-20,REST,REST
2013-02-21,OFF,XX
2013-02-22,REST,REST
2013-02-26,OFF,XX
2013-02-27,OFF,XX
2013-02-28,REST,REST
2013-03-04,OFF,XX
2013-03-05,OFF,XX
2013-03-06,OFF,XX
2013-03-13,OFF,XX
2013-03-14,OFF,XX
2013-03-15,LVE,LV
2013-03-16,LVE,LV
2013-03-17,LVE,LV
2013-03-18,LVE,LV
2013-03-19,LVE,LV
2013-03-20,LVE,LV
2013-03-21,LVE,LV
2013-03-22,LVE,LV
2013-03-23,OFF,XX
2013-03-24,OFF,XX
2013-03-29,OFF,XX
2013-03-30,OFF,XX
2013-04-03,REST,REST
2013-04-07,OFF,XX
2013-04-08,REST,REST
2013-04-11,OFF,XX
2013-04-12,OFF,XX
2013-04-13,OFF,XXR
2013-04-14,ABS,AB
2013-04-15,SBY,SQA1300
2013-04-16,SBY,SQ12
2013-04-18,LVE,LV
2013-04-19,LVE,LV
2013-04-20,LVE,LV
2013-04-21,LVE,LV
2013-04-22,LVE,LV
2013-04-23,LVE,LV
2013-04-24,LVE,LV
2013-04-25,OFF,XX
2013-04-26,OFF,XX
2013-04-27,OFF,XX
2013-04-28,REST,REST
2013-05-02,OFF,XX
2013-05-03,OFF,XX
2013-05-04,OFF,XX
2013-05-05,OFF,XX
2013-05-09,OFF,XX
2013-05-10,OFF,XX
2013-05-14,REST,REST
2013-05-16,OFF,XX
2013-05-17,TRG,ER81
2013-05-18,TRG,ER82
2013-05-19,REST,REST
2013-05-23,OFF,XX
2013-05-24,OFF,XX
2013-05-28,OFF,XX
2013-05-29,OFF,XX
2013-05-30,REST,REST
2013-06-03,OFF,XX
2013-06-04,OFF,XX
2013-06-05,OFF,XX
2013-06-09,OFF,XX
2013-06-10,OFF,XX
2013-06-17,OFF,XX
2013-06-18,OFF,XX
2013-06-19,OFF,XX
2013-06-23,OFF,XX
2013-06-27,REST,REST
2013-06-29,OFF,XX
2013-06-30,OFF,XX
2013-07-01,OFF,XX
2013-07-05,OFF,XX
2013-07-06,OFF,XX
2013-07-07,OFF,XX
2013-07-08,REST,REST
2013-07-12,OFF,XX
2013-07-13,OFF,XX
2013-07-14,REST,REST
