Flight Date,Flight Number,Flight Departure,Flight Arrival,Grade,Departure Date,Arrival Date,Flight Time
2011-07-07,0015,DXB,LGW,GR2,2011-07-07 08:08:00,2011-07-07 12:08:00,07:10
2011-07-08,0016,LGW,DXB,GR2,2011-07-08 14:43:00,2011-07-09 00:31:00,06:54
2011-07-11,0975,DXB,IKA,GR2,2011-07-11 01:01:00,2011-07-11 03:19:00,01:57
2011-07-11,0976,IKA,DXB,GR2,2011-07-11 05:40:00,2011-07-11 07:04:00,01:57
2011-07-13,0029,DXB,LHR,GR2,2011-07-13 09:51:00,2011-07-13 13:55:00,07:14
2011-07-14,0030,LHR,DXB,GR2,2011-07-14 17:05:00,2011-07-15 02:53:00,06:59
2011-07-18,0502,DXB,BOM,GR2,2011-07-18 13:22:00,2011-07-18 18:01:00,03:19
2011-07-18,0503,BOM,DXB,GR2,2011-07-18 19:35:00,2011-07-18 20:58:00,02:57
2011-07-20,0372,DXB,BKK,GR2,2011-07-20 09:53:00,2011-07-20 19:26:00,06:45
2011-07-21,0373,BKK,DXB,GR2,2011-07-21 21:26:00,2011-07-22 00:47:00,06:27
2011-07-24,0977,DXB,IKA,GR2,2011-07-24 19:02:00,2011-07-24 21:20:00,01:57
2011-07-24,0978,IKA,DXB,GR2,2011-07-24 23:01:00,2011-07-25 00:41:00,02:15
2011-07-26,0765,DXB,JNB,GR2,2011-07-26 14:49:00,2011-07-26 21:13:00,08:35
2011-07-27,0766,JNB,DXB,GR2,2011-07-27 22:35:00,2011-07-28 08:26:00,08:
2011-07-31,0418,DXB,BKK,GR2,2011-07-31 09:04:00,2011-07-31 18:12:00,06:13
2011-08-01,0418,BKK,SYD,GR2,2011-08-01 20:17:00,2011-08-02 07:53:00,08:42
2011-08-03,0418,SYD,CHC,GR2,2011-08-03 09:39:00,2011-08-03 14:34:00,03:01
2011-08-03,0419,CHC,SYD,GR2,2011-08-03 16:00:00,2011-08-03 16:57:00,03:04
2011-08-05,0419,SYD,BKK,GR2,2011-08-05 18:54:00,2011-08-06 01:11:00,09:28
2011-08-07,0419,BKK,DXB,GR2,2011-08-07 02:31:00,2011-08-07 05:21:00,05:54
2011-08-10,0606,DXB,KHI,GR2,2011-08-10 10:13:00,2011-08-10 13:07:00,02:01
2011-08-10,0607,KHI,DXB,GR2,2011-08-10 14:22:00,2011-08-10 15:09:00,01:52
