02-May-2011,0108/MLALCA,GR2,02-May-2011 15:44,02-May-2011 18:53,02:14
04-May-2011,OFF-XX,,,,
05-May-2011,REST-REST,,,,
06-May-2011,0318/DXBNRT,GR2,06-May-2011 02:57,06-May-2011 17:19,09:33
07-May-2011,0319/NRTDXB,GR2,07-May-2011 21:58,08-May-2011 04:26,11:32
09-May-2011,OFF-XX,,,,
10-May-2011,OFF-XX,,,,
11-May-2011,0091/DXBMXP,GR2,11-May-2011 16:10,11-May-2011 20:45,06:42
12-May-2011,0092/MXPDXB,GR2,12-May-2011 22:24,13-May-2011 06:22,06:11
14-May-2011,OFF-XX,,,,
15-May-2011,OFF-XX,,,,
16-May-2011,OFF-XX,,,,
17-May-2011,0049/DXBMUC,GR2,17-May-2011 08:46,17-May-2011 12:39,06:
18-May-2011,0050/MUCDXB,GR2,18-May-2011 15:39,18-May-2011 23:49,06:15
20-May-2011,0318/DXBNRT,GR2,20-May-2011 02:54,20-May-2011 17:20,09:34
21-May-2011,0319/NRTDXB,GR2,21-May-2011 21:59,22-May-2011 04:03,11:14
23-May-2011,OFF-XX,,,,
24-May-2011,OFF-XX,,,,
25-May-2011,TRG-GT,,,,
26-May-2011,REST-REST,,,,
27-May-2011,0650/DXBCMB,GR2,27-May-2011 02:49,27-May-2011 08:52,04:36
28-May-2011,0651/CMBDXB,GR2,28-May-2011 10:15,28-May-2011 13:01,04:22
29-May-2011,OFF-XX,,,,
30-May-2011,0825/DXBDMM,GR2,30-May-2011 16:34,30-May-2011 16:43,01:15
30-May-2011,0826/DMMDXB,GR2,30-May-2011 18:18,30-May-2011 20:34,01:22
31-May-2011,OFF-XX,,,,
01-Jun-2011,OFF-XX,,,,
02-Jun-2011,OFF-XX,,,,
03-Jun-2011,0406/DXBMEL,GR2,03-Jun-2011 10:27,04-Jun-2011 04:54,12:32
05-Jun-2011,0406/MELAKL,GR2,05-Jun-2011 07:11,05-Jun-2011 12:41,03:43
06-Jun-2011,0407/AKLMEL,GR2,06-Jun-2011 18:05,06-Jun-2011 19:54,03:31
07-Jun-2011,0407/MELDXB,GR2,07-Jun-2011 21:17,08-Jun-2011 04:57,13:47
09-Jun-2011,OFF-XX,,,,
10-Jun-2011,LVE-LV,,,,
11-Jun-2011,LVE-LV,,,,
12-Jun-2011,LVE-LV,,,,
13-Jun-2011,LVE-LV,,,,
14-Jun-2011,LVE-LV,,,,
15-Jun-2011,LVE-LV,,,,
16-Jun-2011,LVE-LV,,,,
17-Jun-2011,LVE-LV,,,,
18-Jun-2011,LVE-LV,,,,
19-Jun-2011,LVE-LV,,,,
20-Jun-2011,LVE-LV,,,,
21-Jun-2011,LVE-LV,,,,
22-Jun-2011,OFF-XX,,,,
23-Jun-2011,0857/DXBKWI,GR2,23-Jun-2011 16:18,23-Jun-2011 16:51,01:39
23-Jun-2011,0858/KWIDXB,GR2,23-Jun-2011 18:13,23-Jun-2011 20:50,01:44
24-Jun-2011,0514/DXBDEL,GR2,24-Jun-2011 15:42,24-Jun-2011 20:17,03:18
24-Jun-2011,0515/DELDXB,GR2,24-Jun-2011 21:52,24-Jun-2011 23:49,03:33
26-Jun-2011,0039/DXBBHX,GR2,26-Jun-2011 08:29,26-Jun-2011 12:47,07:23
27-Jun-2011,0040/BHXDXB,GR2,27-Jun-2011 14:42,28-Jun-2011 00:33,06:56
29-Jun-2011,OFF-XX,,,,
30-Jun-2011,REST-REST,,,,
01-Jul-2011,0530/DXBCOK,GR2,01-Jul-2011 03:47,01-Jul-2011 09:21,04:08
01-Jul-2011,0531/COKDXB,GR2,01-Jul-2011 10:37,01-Jul-2011 12:39,03:38
03-Jul-2011,0007/DXBLHR,GR2,03-Jul-2011 02:46,03-Jul-2011 07:04,07:26
04-Jul-2011,0008/LHRDXB,GR2,04-Jul-2011 08:52,04-Jul-2011 18:26,06:40
05-Jul-2011,OFF-XX,,,,
06-Jul-2011,OFF-XX,,,,
07-Jul-2011,0015/DXBLGW,GR2,07-Jul-2011 08:08,07-Jul-2011 12:08,07:10
08-Jul-2011,0016/LGWDXB,GR2,08-Jul-2011 14:43,09-Jul-2011 00:31,06:54
10-Jul-2011,REST-REST,,,,
